index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
375, 91949, 34798, 92898, 26420, 24077, 639, 2057053, 1771648
376, 92120, 34875, 93117, 26434, 24091, 641, 2074363, 1785653
377, 92232, 34892, 93373, 26434, 24091, 641, 2086854, 1795182
378, 92862, 35241, 94047, 26840, 24497, 680, 2099567, 1804877
379, 93014, 35293, 94285, 26852, 24509, 680, 2113999, 1816649
380, 93247, 35360, 94634, 26852, 24509, 680, 2129414, 1829935
381, 93479, 35431, 94916, 26861, 24518, 681, 2137188, 1836207
382, 93695, 35499, 95136, 26867, 24524, 682, 2143155, 1841020
383, 94062, 35594, 95600, 26868, 24525, 682, 2153064, 1848329
384, 94393, 35650, 96040, 26871, 24528, 682, 2163000, 1855946
385, 94924, 35783, 96552, 26877, 24534, 682, 2170701, 1860975
386, 95288, 35838, 96947, 26877, 24534, 682, 2181655, 1868451
387, 95592, 35840, 97364, 26877, 24534, 682, 2183989, 1869064
388, 96015, 35840, 97863, 26877, 24534, 682, 2186942, 1869793
389, 96396, 35841, 98340, 26877, 24534, 682, 2189070, 1870339
390, 96719, 35842, 98742, 26877, 24534, 682, 2191660, 1870959
391, 97097, 35843, 99144, 26877, 24534, 682, 2193936, 1871544
392, 97717, 35843, 99764, 26877, 24534, 682, 2196932, 1872175
393, 98194, 35843, 100241, 26877, 24534, 682, 2199195, 1872635
394, 98719, 35844, 100765, 26877, 24534, 682, 2202146, 1873371
395, 99162, 35844, 101209, 26877, 24534, 682, 2204814, 1873944
396, 99684, 35844, 101732, 26877, 24534, 682, 2207392, 1874472
397, 100146, 35848, 102190, 26877, 24534, 682, 2211058, 1875218
398, 100401, 35871, 102422, 26877, 24534, 682, 2222179, 1883114
399, 100461, 35880, 102473, 26877, 24534, 682, 2233141, 1892718
400, 100652, 35910, 102634, 26877, 24534, 682, 2243976, 1901109
401, 100956, 35924, 102926, 26877, 24534, 682, 2252999, 1906773
402, 101403, 36027, 103270, 26877, 24534, 682, 2268718, 1919818
403, 101779, 36105, 103570, 26877, 24534, 682, 2284112, 1932786
404, 102235, 36169, 103966, 26877, 24534, 682, 2296768, 1943261
405, 102450, 36217, 104133, 26877, 24534, 682, 2312755, 1957953
406, 102963, 36420, 104481, 26924, 24581, 683, 2325890, 1969038
407, 103670, 36496, 105258, 26924, 24581, 683, 2337644, 1977928
408, 105063, 36519, 107087, 26924, 24581, 683, 2344325, 1980067
409, 105388, 36534, 107407, 26924, 24581, 683, 2357842, 1989198
410, 106112, 36812, 107855, 26974, 24631, 689, 2373024, 2001653
411, 106914, 37090, 108389, 26979, 24636, 689, 2388480, 2015284
412, 108490, 37679, 109466, 26982, 24639, 690, 2410518, 2035990
413, 108642, 37736, 109697, 26983, 24640, 690, 2428418, 2050731
414, 109001, 37782, 110442, 26983, 24640, 690, 2441146, 2059644
415, 109188, 37821, 110769, 26983, 24640, 690, 2450664, 2067386
416, 109587, 38001, 111205, 27093, 24750, 698, 2457623, 2072556
417, 109749, 38030, 111470, 27093, 24750, 698, 2472125, 2084954
418, 110090, 38068, 111815, 27093, 24750, 698, 2481610, 2091979
419, 110457, 38108, 112164, 27093, 24750, 698, 2491375, 2099546
420, 110869, 38139, 112608, 27093, 24750, 698, 2500491, 2106020
421, 111225, 38174, 113089, 27093, 24750, 698, 2510069, 2112696
422, 111642, 38205, 113512, 27093, 24750, 698, 2519671, 2119310
423, 112218, 38309, 114057, 27098, 24755, 698, 2524895, 2122040
424, 112464, 38404, 114221, 27098, 24755, 698, 2525176, 2122198
425, 112485, 38404, 114244, 27098, 24755, 698, 2525264, 2122220
426, 112503, 38404, 114262, 27098, 24755, 698, 2525343, 2122241
427, 112524, 38404, 114283, 27098, 24755, 698, 2525426, 2122260
428, 112589, 38404, 114351, 27098, 24755, 698, 2525767, 2122403
429, 112655, 38410, 114415, 27098, 24755, 698, 2526019, 2122521
430, 112704, 38412, 114465, 27098, 24755, 698, 2526200, 2122572
431, 112722, 38412, 114483, 27098, 24755, 698, 2526374, 2122616
432, 112722, 38412, 114483, 27098, 24755, 698, 2526374, 2122616
433, 112722, 38412, 114483, 27098, 24755, 698, 2526378, 2122619
434, 112722, 38412, 114483, 27098, 24755, 698, 2526383, 2122622
435, 112722, 38412, 114483, 27098, 24755, 698, 2526387, 2122626
436, 112722, 38412, 114483, 27098, 24755, 698, 2526391, 2122630
437, 112734, 38412, 114501, 27098, 24755, 698, 2526523, 2122690
438, 112754, 38412, 114522, 27098, 24755, 698, 2526623, 2122718
439, 112796, 38412, 114567, 27098, 24755, 698, 2527065, 2122888
440, 112808, 38412, 114579, 27098, 24755, 698, 2527173, 2122931
441, 112808, 38412, 114579, 27098, 24755, 698, 2527173, 2122931
442, 112808, 38412, 114579, 27098, 24755, 698, 2527173, 2122931
443, 112808, 38412, 114579, 27098, 24755, 698, 2527175, 2122933
444, 112808, 38412, 114579, 27098, 24755, 698, 2527215, 2122963
445, 112808, 38412, 114579, 27098, 24755, 698, 2527217, 2122965
446, 112808, 38412, 114579, 27098, 24755, 698, 2527219, 2122967
447, 112817, 38412, 114591, 27098, 24755, 698, 2527364, 2123021
448, 112833, 38413, 114606, 27098, 24755, 698, 2527451, 2123047
449, 112847, 38413, 114621, 27098, 24755, 698, 2527587, 2123080
450, 112887, 38429, 114651, 27098, 24755, 698, 2527637, 2123116
451, 112936, 38445, 114684, 27098, 24755, 698, 2527764, 2123176
452, 112972, 38458, 114710, 27098, 24755, 698, 2527863, 2123214
453, 112993, 38459, 114736, 27098, 24755, 698, 2528079, 2123298
454, 113049, 38470, 114781, 27098, 24755, 698, 2528394, 2123388
455, 113142, 38482, 114867, 27098, 24755, 698, 2528714, 2123500
456, 113157, 38482, 114888, 27098, 24755, 698, 2528942, 2123577
457, 113204, 38485, 114935, 27098, 24755, 698, 2529222, 2123685
458, 113272, 38497, 114992, 27098, 24755, 698, 2529748, 2123923
459, 113281, 38497, 115007, 27098, 24755, 698, 2529895, 2124008
460, 113322, 38497, 115049, 27098, 24755, 698, 2530194, 2124119
461, 113347, 38498, 115074, 27098, 24755, 698, 2530369, 2124170
462, 113363, 38498, 115090, 27098, 24755, 698, 2530450, 2124192
463, 113376, 38498, 115103, 27098, 24755, 698, 2530530, 2124213
464, 113391, 38498, 115119, 27098, 24755, 698, 2530617, 2124239
465, 113391, 38498, 115119, 27098, 24755, 698, 2530617, 2124239
466, 113391, 38498, 115119, 27098, 24755, 698, 2530619, 2124241
467, 113391, 38498, 115119, 27098, 24755, 698, 2530619, 2124241
468, 113391, 38498, 115119, 27098, 24755, 698, 2530621, 2124243
469, 113401, 38498, 115134, 27098, 24755, 698, 2530719, 2124266
470, 113414, 38506, 115140, 27098, 24755, 698, 2530817, 2124303
471, 113435, 38508, 115159, 27098, 24755, 698, 2530912, 2124335
472, 113459, 38510, 115186, 27098, 24755, 698, 2531040, 2124373
473, 113513, 38510, 115240, 27098, 24755, 698, 2531345, 2124501
474, 113576, 38514, 115300, 27098, 24755, 698, 2531703, 2124646
475, 113576, 38514, 115300, 27098, 24755, 698, 2531716, 2124657
476, 113576, 38514, 115300, 27098, 24755, 698, 2531717, 2124658
477, 113576, 38514, 115300, 27098, 24755, 698, 2531718, 2124659
478, 113576, 38514, 115300, 27098, 24755, 698, 2531719, 2124660
479, 113576, 38514, 115300, 27098, 24755, 698, 2531720, 2124661
480, 113606, 38514, 115331, 27098, 24755, 698, 2531952, 2124765
481, 113647, 38514, 115379, 27098, 24755, 698, 2532171, 2124831
482, 113671, 38514, 115403, 27098, 24755, 698, 2532333, 2124917
483, 113718, 38516, 115453, 27098, 24755, 698, 2532606, 2124982
484, 113751, 38516, 115486, 27098, 24755, 698, 2532711, 2125014
485, 113798, 38518, 115535, 27098, 24755, 698, 2533065, 2125152
486, 113843, 38518, 115580, 27098, 24755, 698, 2533185, 2125195
487, 113868, 38518, 115607, 27098, 24755, 698, 2533312, 2125242
488, 113868, 38518, 115607, 27098, 24755, 698, 2533312, 2125242
489, 113868, 38518, 115607, 27098, 24755, 698, 2533312, 2125242
490, 113868, 38518, 115607, 27098, 24755, 698, 2533312, 2125242
491, 113879, 38523, 115613, 27098, 24755, 698, 2533316, 2125246
492, 113890, 38528, 115619, 27098, 24755, 698, 2533320, 2125250
493, 113890, 38528, 115619, 27098, 24755, 698, 2533320, 2125250
494, 113901, 38533, 115625, 27098, 24755, 698, 2533324, 2125254
495, 113901, 38533, 115625, 27098, 24755, 698, 2533343, 2125268
496, 113912, 38538, 115631, 27098, 24755, 698, 2533345, 2125270
497, 113969, 38562, 115664, 27100, 24757, 698, 2533468, 2125323
498, 113998, 38566, 115689, 27100, 24757, 698, 2533583, 2125360
499, 114018, 38570, 115709, 27100, 24757, 698, 2533672, 2125393
500, 114073, 38570, 115780, 27100, 24757, 698, 2534090, 2125584
501, 114089, 38572, 115799, 27100, 24757, 698, 2534216, 2125644
502, 114089, 38572, 115799, 27100, 24757, 698, 2534217, 2125645
503, 114089, 38572, 115799, 27100, 24757, 698, 2534220, 2125648
504, 114130, 38574, 115852, 27100, 24757, 698, 2534491, 2125754
505, 114139, 38574, 115867, 27100, 24757, 698, 2534583, 2125784
506, 114165, 38578, 115907, 27100, 24757, 698, 2534840, 2125890
507, 114214, 38593, 115943, 27100, 24757, 698, 2534997, 2125971
508, 114246, 38598, 115970, 27100, 24757, 698, 2535116, 2126016
509, 114249, 38598, 115973, 27100, 24757, 698, 2535118, 2126017
510, 114249, 38598, 115973, 27100, 24757, 698, 2535122, 2126021
511, 114249, 38598, 115973, 27100, 24757, 698, 2535124, 2126023
512, 114249, 38598, 115973, 27100, 24757, 698, 2535127, 2126026
513, 114264, 38598, 115988, 27100, 24757, 698, 2535384, 2126143
514, 114275, 38598, 116000, 27100, 24757, 698, 2535488, 2126175
515, 114275, 38598, 116000, 27100, 24757, 698, 2535488, 2126175
516, 114275, 38598, 116000, 27100, 24757, 698, 2535513, 2126197
517, 114275, 38598, 116000, 27100, 24757, 698, 2535516, 2126200
518, 114275, 38598, 116000, 27100, 24757, 698, 2535519, 2126203
519, 114276, 38598, 116006, 27100, 24757, 698, 2535612, 2126236
520, 114289, 38598, 116023, 27100, 24757, 698, 2535726, 2126275
521, 114331, 38598, 116066, 27100, 24757, 698, 2536039, 2126372
522, 114341, 38599, 116109, 27100, 24757, 698, 2536347, 2126468
523, 114372, 38607, 116164, 27100, 24757, 698, 2536596, 2126593
524, 114376, 38607, 116179, 27100, 24757, 698, 2536742, 2126653
525, 114376, 38607, 116179, 27100, 24757, 698, 2536745, 2126656
526, 114376, 38607, 116182, 27100, 24757, 698, 2536884, 2126726
527, 114378, 38607, 116194, 27100, 24757, 698, 2536963, 2126744
528, 114386, 38607, 116216, 27100, 24757, 698, 2537242, 2126839
529, 114447, 38607, 116300, 27100, 24757, 698, 2537823, 2127022
530, 114456, 38607, 116309, 27100, 24757, 698, 2537905, 2127040
531, 114474, 38607, 116327, 27100, 24757, 698, 2538007, 2127067
532, 114506, 38609, 116357, 27100, 24757, 698, 2538119, 2127099
533, 114506, 38609, 116357, 27100, 24757, 698, 2538121, 2127101
534, 114542, 38609, 116393, 27100, 24757, 698, 2538347, 2127173
