index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
354, 125636234, ( 1751 1753 1793 1795 1812 1857 1859 1864 1938 1940 1945 81 90 101 726 753 1280 1312 ), ( 0 0 0 0 0 0 0 880 0 0 880 0 0 0 0 0 0 0 ), ( 1 2 1 2 1 1 2 3 1 2 3 1 1 2 1 1 1 2 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
355, 19313216, ( 1358 1360 1362 1389 1391 1503 1505 1507 1527 1529 1569 1571 1573 1595 1868 1916 1918 108 110 744 746 748 1104 1149 1237 1239 1290 1292 ), ( 0 0 393 0 0 0 0 393 0 0 0 0 393 0 0 0 0 0 0 0 0 393 0 0 0 393 0 0 ), ( 1 2 3 1 2 1 2 3 1 2 1 2 3 2 2 1 2 1 2 1 2 3 1 1 2 3 1 2 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
356, 20026757, ( 1455 48 50 92 94 233 288 307 375 450 480 482 500 551 792 1177 ), ( 0 0 0 0 800 0 0 0 0 0 0 0 800 0 800 800 ), ( 2 1 2 2 3 1 2 2 2 2 1 2 3 2 3 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
357, 19313167, ( 1804 1880 1903 1924 140 560 819 1038 ), ( 0 0 0 0 0 0 0 0 ), ( 2 2 2 2 2 2 1 1 ), ( 1 1 1 1 1 1 1 1 ), ( 1 1 1 1 1 1 1 1 )
358, 81439443, ( 1441 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
359, 119617590, ( 1353 1453 1482 1603 1663 1677 138 151 440 767 1114 1217 1245 ), ( 568 0 0 568 568 568 0 568 0 568 568 568 568 ), ( 3 1 1 3 3 3 1 3 1 3 3 3 3 ), ( 0 0 0 0 0 0 0 1 1 1 1 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 )
360, 19313214, ( 1356 1385 1387 1499 1501 1523 1525 1565 1567 1618 1765 1823 1912 1914 106 742 937 1102 1147 1288 ), ( 393 0 393 0 393 0 393 0 393 0 0 0 0 393 393 393 0 393 393 393 ), ( 3 2 3 2 3 2 3 2 3 2 2 2 2 3 3 3 2 3 3 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
361, 20026755, ( 46 478 ), ( 800 800 ), ( 3 3 ), ( 0 0 ), ( 1 1 )
362, 19313215, ( 1357 1359 1386 1388 1390 1500 1502 1504 1524 1526 1528 1566 1568 1570 1594 1619 1766 1824 1867 1913 1915 1917 107 109 743 745 938 1103 1148 1236 1289 1291 ), ( 0 393 0 0 393 0 0 393 0 0 393 0 0 393 393 0 0 0 393 0 0 393 0 393 0 393 0 0 0 393 0 393 ), ( 2 3 1 2 3 1 2 3 1 2 3 1 2 3 3 1 1 1 3 1 2 3 2 3 2 3 1 2 2 3 2 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
363, 20026756, ( 1454 47 49 91 287 306 374 449 479 481 550 ), ( 800 0 800 800 800 800 800 800 0 800 800 ), ( 3 2 3 3 3 3 3 3 2 3 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 )
