Output File,Benchmark,pref_cpu0_L2C,IPC,cpu0_L2C TOTAL,cpu0_L2C TOTAL,cpu0_L2C TOTAL,cpu0_L2C LOAD,cpu0_L2C LOAD,cpu0_L2C LOAD,cpu0_L2C RFO,cpu0_L2C RFO,cpu0_L2C RFO,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C WRITEBACK,cpu0_L2C WRITEBACK,cpu0_L2C WRITEBACK,cpu0_L2C TRANSLATION,cpu0_L2C TRANSLATION,cpu0_L2C TRANSLATION,cpu0_L2C AVERAGE MISS
,,,,ACCESS,HIT,MISS,ACCESS,HIT,MISS,ACCESS,HIT,MISS,ACCESS,HIT,MISS,REQUESTED,ISSUED,USEFUL,USELESS,ACCESS,HIT,MISS,ACCESS,HIT,MISS,LATENCY
out_spp-dev_1_627_034520.txt,627.cam4_s-573B.champsimtrace.xz,Next Line prefetcher,1.01747,20306347,14037047,6269300,3480549,3066130,414419,6561497,1212583,5348914,3305205,2801977,503228,3480549,3475922,431169,156995,6957610,6955476,2134,1486,881,605,898.28
out_spp-dev_8_607_053715.txt,607.cactuBSSN_s-2421B.champsimtrace.xz,Next Line prefetcher,1.41891,188155913,171150079,17005834,110231478,104749175,5482303,4722301,4565215,157086,66504759,55175092,11329667,110231478,68218941,9934921,1406833,6590030,6586664,3366,107345,73933,33412,908.776
out_next-line_3_628_011440.txt,628.pop2_s-17B.champsimtrace.xz,Next Line prefetcher,1.88938,28881258,21866254,7015004,10074570,6859383,3215187,5017593,2851195,2166398,7241392,5617476,1623916,10074570,10072431,3411499,276817,6535358,6529839,5519,12345,8361,3984,168.861
out_spp-dev_0_600_031714.txt,600.perlbench_s-210B.champsimtrace.xz,Next Line prefetcher,1.59149,5365062,4682796,682266,2541534,2190139,351395,80730,52534,28196,2479270,2179022,300248,2541534,2541533,183189,135462,262361,260270,2091,1167,831,336,124.257
out_next-line_1_627_000921.txt,627.cam4_s-573B.champsimtrace.xz,Next Line prefetcher,1.01747,20306347,14037047,6269300,3480549,3066130,414419,6561497,1212583,5348914,3305205,2801977,503228,3480549,3475922,431169,156995,6957610,6955476,2134,1486,881,605,898.28
out_next-line_2_602_005246.txt,602.gcc_s-734B.champsimtrace.xz,Next Line prefetcher,0.911406,29915265,21363645,8551620,16488407,12920211,3568196,9966,2212,7754,13235363,8265670,4969693,16488407,16488407,7903336,264516,164465,164421,44,17064,11131,5933,68.2466
out_next-line_4_603_013011.txt,603.bwaves_s-3699B.champsimtrace.xz,Next Line prefetcher,1.64383,398147,196376,201771,35720,26502,9218,167858,453,167405,27114,2186,24928,35720,35720,32969,549,167202,166982,220,253,253,0,658.122
out_next-line_6_605_020503.txt,605.mcf_s-665B.champsimtrace.xz,Next Line prefetcher,0.415472,76777365,29937501,46839864,37515046,12923193,24591853,3708433,1335698,2372735,29971030,10106087,19864943,37515048,37514938,7215913,13935444,5578672,5572510,6162,4184,13,4171,115.561
out_spp-dev_3_628_042741.txt,628.pop2_s-17B.champsimtrace.xz,Next Line prefetcher,1.88938,28881258,21866254,7015004,10074570,6859383,3215187,5017593,2851195,2166398,7241392,5617476,1623916,10074570,10072431,3411499,276817,6535358,6529839,5519,12345,8361,3984,168.861
out_next-line_5_631_015943.txt,631.deepsjeng_s-928B.champsimtrace.xz,Next Line prefetcher,1.26877,2674842,2204745,470097,994034,726742,267292,200886,190274,10612,918466,730682,187784,994034,994034,28285,160002,427140,426117,1023,134316,130930,3386,172.562
out_spp-dev_6_605_052827.txt,605.mcf_s-665B.champsimtrace.xz,Next Line prefetcher,0.415472,76777365,29937501,46839864,37515046,12923193,24591853,3708433,1335698,2372735,29971030,10106087,19864943,37515048,37514938,7215913,13935444,5578672,5572510,6162,4184,13,4171,115.561
out_next-line_8_607_022530.txt,607.cactuBSSN_s-2421B.champsimtrace.xz,Next Line prefetcher,1.41891,188155913,171150079,17005834,110231478,104749175,5482303,4722301,4565215,157086,66504759,55175092,11329667,110231478,68218941,9934921,1406833,6590030,6586664,3366,107345,73933,33412,908.776
out_next-line_9_641_030527.txt,641.leela_s-800B.champsimtrace.xz,Next Line prefetcher,0.96782,4730797,4630544,100253,2044088,2003818,40270,240844,204561,36283,2022331,1998659,23672,2044088,2044088,35560,6621,423181,423159,22,353,347,6,141.21
out_spp-dev_5_631_051539.txt,631.deepsjeng_s-928B.champsimtrace.xz,Next Line prefetcher,1.26877,2674842,2204745,470097,994034,726742,267292,200886,190274,10612,918466,730682,187784,994034,994034,28285,160002,427140,426117,1023,134316,130930,3386,172.562
